source_id target_id year month day
61979CJ0109 61979CJ0145 1980 10 15
61979CJ0109 61976CJ0117 1980 10 15
61979CJ0145 61976CJ0117 1980 10 15
61979CJ0145 61976CJ0124 1980 10 15
61979CJ0145 61979CJ0004 1980 10 15
61979CJ0145 61978CJ0166 1980 10 15
61979CJ0145 61974CJ0034 1980 10 15
61979CJ0145 61979CJ0109 1980 10 15
61979CJ0147 61974CJ0021 1980 10 16
61978CJ0209 61976CJ0085 1980 10 29
61978CJ0209 61976CJ0026 1980 10 29
61978CJ0209 61977CJ0013 1980 10 29
61978CJ0209 61973CJ0040 1980 10 29
61978CJ0209 61969CJ0041 1980 10 29
61978CJ0209 61965CJ0056 1980 10 29
61979CJ0138 61977CJ0103 1980 10 29
61979CJ0139 61977CJ0103 1980 10 29
61980CJ0003 61978CJ0005 1980 10 30
61980CJ0003 61977CJ0131 1980 10 30
61980CJ0026 61978CJ0168 1980 10 30
61980CJ0026 61977CJ0148 1980 10 30
61979CJ0820 61975CJ0125 1980 11 25
61980CJ0054 61979CJ0065 1980 12 4
61980CJ0023 61972CJ0033 1980 12 10
61980CJ0023 61968CJ0032 1980 12 10
61980CJ0023 61969CJ0024 1980 12 10
61979CJ1252 61978CJ0149 1980 12 11
61979CJ1252 61978CJ0154 1980 12 11
61980CJ0031 61976CJ0085 1980 12 11
61980CJ0031 61976CJ0026 1980 12 11
61980CJ0031 61965CJ0056 1980 12 11
61980CJ0031 61979CJ0037 1980 12 11
61980CJ0031 61967CJ0023 1980 12 11
61980CJ0031 61978CJ0253 1980 12 11
61980CJ0031 61972CJ0006 1980 12 11
61980CJ0031 61979CJ0099 1980 12 11
61979CJ0814 61976CJ0029 1980 12 16
61979CJ0814 61978CJ0133 1980 12 16
61979CJ0814 61977CJ0009 1980 12 16
61979CJ0156 61979CJ0024 1980 12 18
61979CJ0156 61976CJ0061 1980 12 18
61979CJ0819 61972CJ0013 1981 1 14
61980CJ0046 61975CJ0127 1981 1 14
61980CJ0046 61979CJ0104 1981 1 14
61980CJ0046 61977CJ0148 1981 1 14
61980CJ0046 61979CJ0021 1981 1 14
61979CJ0140 61975CJ0127 1981 1 14
61979CJ0140 61979CJ0104 1981 1 14
61979CJ0140 61979CJ0021 1981 1 14
61979CJ0140 61977CJ0148 1981 1 14
61979CJ0140 61975CJ0045 1981 1 14
61980CJ0055 61974CJ0015 1981 1 20
61980CJ0055 61975CJ0119 1981 1 20
