node_id title year month day
11798/85 "CASE OF CASTELLS v SPAIN" 1992 4 23
13770/88 "CASE OF MEGYERI v GERMANY" 1992 5 12
12433/86 "CASE OF LDI v SWITZERLAND" 1992 6 15
13778/88 "CASE OF THORGEIR THORGEIRSON v" 1992 6 25
12747/87 "CASE OF DROZD AND JANOUSEK v F" 1992 6 26
12850/87 "CASE OF TOMASI v FRANCE" 1992 8 27
17550/90 "CASE OF VIJAYANATHAN AND PUSPA" 1992 8 27
13704/88 "CASE OF SCHWABE v AUSTRIA" 1992 8 28
13161/87 "CASE OF ARTNER v AUSTRIA" 1992 8 28
12784/87 "CASE OF FM v ITALY" 1992 9 23
10533/83 "CASE OF HERCZEGFALVY v AUSTRIA" 1992 9 24
11613/85 "CASE OF KOLOMPAR v BELGIUM" 1992 9 24
13191/87 "CASE OF PHAM HOANG v FRANCE" 1992 9 25
13611/88 "CASE OF CROISSANT v GERMANY" 1992 9 25
11892/85 "CASE OF CESARINI v ITALY" 1992 10 12
11955/86 "CASE OF SALERNO v ITALY" 1992 10 12
14104/88 "CASE OF T v ITALY" 1992 10 12
12919/87 "CASE OF BODDAERT v BELGIUM" 1992 10 12
15016/89 "CASE OF MLYNEK v AUSTRIA" 1992 10 27
12351/86 "CASE OF VIDAL v BELGIUM ARTICL" 1992 10 28
14229/88 "CASE OF Y v THE UNITED KINGDOM" 1992 10 29
14234/88 "CASE OF OPEN DOOR AND DUBLIN W" 1992 10 29
12728/87 "CASE OF ABDOELLA v THE NETHERL" 1992 11 25
11519/85 "CASE OF FRANCESCO LOMBARDO v I" 1992 11 26
13867/88 "CASE OF BRINCAT v ITALY" 1992 11 26
12490/86 "CASE OF GIANCARLO LOMBARDO v I" 1992 11 26
12996/87 "CASE OF MR v ITALY" 1992 11 27
13441/87 "CASE OF OLSSON v SWEDEN No 2" 1992 11 27
13710/88 "CASE OF NIEMIETZ v GERMANY" 1992 12 16
12945/87 "CASE OF HADJIANASTASSIOU v GRE" 1992 12 16
13071/87 "CASE OF EDWARDS v THE UNITED K" 1992 12 16
12964/87 "CASE OF DE GEOUFFRE DE LA PRAD" 1992 12 16
12129/86 "CASE OF HENNINGS v GERMANY" 1992 12 16
12981/87 "CASE OF SAINTE-MARIE v FRANCE" 1992 12 16
14379/88 "CASE OF W v SWITZERLAND" 1993 1 26
14396/88 "CASE OF FEY v AUSTRIA" 1993 2 24
13089/87 "CASE OF DOBBERTIN v FRANCE" 1993 2 25
11471/85 "CASE OF CREMIEUX v FRANCE" 1993 2 25
10828/84 "CASE OF FUNKE v FRANCE" 1993 2 25
12661/87 "CASE OF MIAILHE v FRANCE No 1" 1993 2 25
15118/89 "CASE OF BILLI v ITALY" 1993 2 26
12775/87 "CASE OF DE MICHELI v ITALY" 1993 2 26
13803/88 "CASE OF MESSINA v ITALY" 1993 2 26
12444/86 "CASE OF PIZZETTI v ITALY" 1993 2 26
13396/87 "CASE OF PADOVANI v ITALY" 1993 2 26
13023/87 "CASE OF SALESI v ITALY" 1993 2 26
13688/88 "CASE OF TREVISAN v ITALY" 1993 2 26
13134/87 "CASE OF COSTELLO-ROBERTS v THE" 1993 3 25
13942/88 "CASE OF KRASKA v SWITZERLAND" 1993 4 19
14327/88 "CASE OF SIBSON v THE UNITED KI" 1993 4 20
15070/89 "CASE OF MODINOS v CYPRUS" 1993 4 22
14307/88 "CASE OF KOKKINAKIS v GREECE" 1993 5 25
14553/89 "CASE OF BRANNIGAN AND McBRIDE" 1993 5 26
13645/88 "CASE OF BUNKATE v THE NETHERLA" 1993 5 26
16002/90 "CASE OF K v AUSTRIA" 1993 6 2
12914/87 "CASE OF MELIN v FRANCE" 1993 6 22
12952/87 "CASE OF RUIZ-MATEOS v SPAIN" 1993 6 23
12875/87 "CASE OF HOFFMANN v AUSTRIA" 1993 6 23
16152/90 "CASE OF LAMGUINDAZ v THE UNITE" 1993 6 23
14556/89 "CASE OF PAPAMICHALOPOULOS AND" 1993 6 24
14518/89 "CASE OF SCHULER-ZGRAGGEN v SWI" 1993 6 24
16632/90 "CASE OF COLMAN v THE UNITED KI" 1993 6 28
16130/90 "CASE OF SIGURDUR A SIGURJNSSON" 1993 6 30
13924/88 "CASE OF NORTIER v THE NETHERLA" 1993 8 24
12986/87 "CASE OF SCUDERI v ITALY" 1993 8 24
14399/88 "CASE OF MASSA v ITALY" 1993 8 24
13126/87 "CASE OF SEKANINA v AUSTRIA" 1993 8 25
13308/87 "CASE OF CHORHERR v AUSTRIA" 1993 8 25
14647/89 "CASE OF SAIDI v FRANCE" 1993 9 20
13416/87 "CASE OF PARDO v FRANCE" 1993 9 20
12350/86 "CASE OF KREMZOW v AUSTRIA" 1993 9 21
12235/86 "CASE OF ZUMTOBEL v AUSTRIA" 1993 9 21
15310/89 "CASE OF GOISIS v ITALY" 1993 9 22
15473/89 "CASE OF KLAAS v GERMANY" 1993 9 22
13567/88 "CASE OF ISTITUTO DI VIGILANZA" 1993 9 22
13686/88 "CASE OF FIGUS MILONE v ITALY" 1993 9 22
12806/87 "CASE OF STAMOULAKATOS v GREECE" 1993 10 26
15058/89 "CASE OF DARNELL v THE UNITED K" 1993 10 26
13675/88 "CASE OF MONNET v FRANCE" 1993 10 27
14448/88 "CASE OF DOMBO BEHEER BV v THE" 1993 10 27
14032/88 "CASE OF POITRIMOL v FRANCE" 1993 11 23
13190/87 "CASE OF NAVARRA v FRANCE" 1993 11 23
15511/89 "CASE OF SCOPELLITI v ITALY" 1993 11 23
14838/89 "CASE OF A v FRANCE" 1993 11 23
13914/88 "CASE OF INFORMATIONSVEREIN LEN" 1993 11 24
13972/88 "CASE OF IMBRIOSCIA v SWITZERLA" 1993 11 24
14191/88 "CASE OF HOLM v SWEDEN" 1993 11 25
14282/88 "CASE OF ZANDER v SWEDEN" 1993 11 25
17549/90 "CASE OF HURTADO v SWITZERLAND" 1994 1 28
12954/87 "CASE OF RAIMONDO v ITALY" 1994 2 22
13743/88 "CASE OF TRIPODI v ITALY" 1994 2 22
16213/90 "CASE OF BURGHARTZ v SWITZERLAN" 1994 2 22
18928/91 "CASE OF FREDIN v SWEDEN No 2" 1994 2 23
16757/90 "CASE OF STANFORD v THE UNITED" 1994 2 23
15450/89 "CASE OF CASADO COCA v SPAIN" 1994 2 24
12547/86 "CASE OF BENDENOUN v FRANCE" 1994 2 24
16580/90 "CASE OF BOYLE v THE UNITED KIN" 1994 2 28
14940/89 "CASE OF SILVA PONTES v PORTUGA" 1994 3 23
14146/88 "CASE OF MUTI v ITALY" 1994 3 23
14220/88 "CASE OF RAVNSBORG v SWEDEN" 1994 3 23
17116/90 "CASE OF SCHERER v SWITZERLAND" 1994 3 25
16034/90 "CASE OF VAN DE HURK v THE NETH" 1994 4 19
15651/89 "CASE OF SARAIVA DE CARVALHO v" 1994 4 22
22121/93 "CASE OF VALLEE v FRANCE" 1994 4 26
16988/90 "CASE OF DIAZ RUANO v SPAIN" 1994 4 26
16969/90 "CASE OF KEEGAN v IRELAND" 1994 5 26
10588/83 "CASE OF BARBER MESSEGU AND JAB" 1994 6 13
16997/90 "CASE OF DE MOOR v BELGIUM" 1994 6 23
15088/89 "CASE OF JACUBOWSKI v GERMANY" 1994 6 23
14804/89 "CASE OF VENDITTELLI v ITALY" 1994 7 18
13580/88 "CASE OF KARLHEINZ SCHMIDT v GE" 1994 7 18
15484/89 "CASE OF WYNNE v THE UNITED KIN" 1994 7 18
22800/93 "CASE OF KARAKAYA v FRANCE" 1994 8 26
13470/87 "CASE OF OTTO-PREMINGER-INSTITU" 1994 9 20
